名稱,分類,緯度,經度,地址,電話,介紹,圖片
七彩中央噴水池,魅力商圈;文化路商圈,23.479858,120.449488,嘉義市中山路與文化路交叉口,無,七彩中央噴水池位於中山路中段的圓環中央，嘉義人大多習慣稱之為「中央噴水池」；從陳澄波於昭和2年（1927）的畫作「夏日街景」圖中，可以看到日治時期這個圓環的情景，當初還沒有噴水池的設施。直到民國59年（1970）由許世賢市長任內於拓寬中山路時才將圓環改建為全省首座七彩噴水池，池中央鑄有一座五米高的國父孫中山先生的塑像，早年是嘉義市的重要精神地標。池內的噴泉每十五分鐘即會變換噴泉形式，共有十四種特殊變化，噴泉的水高可及二十公尺，尤其在夜間噴水時，搭配上繽紛十色的燈光，讓這個水池成為眾人矚目焦點，美不勝收。<br><br>中央噴水池鄰近文化路夜市，晚上來此逛街的人潮眾多，每每被七彩變幻的水池燈光所吸引。中央噴水池在嘉義市景與文化情感上也有其特殊的一面，每逢選舉前一日夜晚，中央噴水圓環必定舉行選前造勢活動，附近的店家亦會提早打烊好因應選戰之夜。各方候選人在圓環前鼓舞吶陣、壁壘分明，候選人帶著各自人馬在此較勁，選民則加入自己所支持的候選人隊伍中，聲勢壯觀浩大。因此選戰之夜的遊行成為有「黨外民主聖地」之稱的嘉義市一大特色。<br><br>民國96年（2007）9月10日下午的一場大雨，使得原本豎立在中央噴水圓環中間的國父塑像突然崩塌，水泥塊散落噴水池內；而後經過多方討論，市政府改以具有代表嘉義管樂城市意象的「管樂雞」吉祥物立於水池中央，讓人感受到新一代的活潑與熱情。2014年，搭配電影《KANO》嘉義首映活動，改立為嘉農隊王牌投手吳明捷投球雕像，成為嘉義市的亮眼新地標。,http://fun.chiayi.gov.tw/cy2012/images/410/images/七彩中央噴水池1.jpg
檜意森活村,文化巡禮;文化展館;產業遺產,23.486355,120.453873,嘉義市林森東路1號,05-2761601,「檜意森活村」原為林務局日式官舍群，位在嘉義市共和路及北門街一帶，佔地約四公頃，已有近百年歷史。嘉義林區管理處為將歷史建築活化，將此規劃為「檜意森活村」，對區內28棟木造日式房舍進行修復，自2014年開始營運。<br><br>檜意森活村的規劃是在既有的建築物基礎下，重新翻修，拆除原本分隔各棟建築的圍牆，作為一個開放性的空間造景，民眾或是遊客可以自由進入參觀。檜意森活村全區之定位為朝向「歷史建築活化保存再利用為核心，並結合地方文化特色創造林產新文化」發展，尤其保留原建物紋理及原來之植栽，打造日式庭園景色；區內也設計以徒步方式遊覽以達節能減碳，創造都市庭園意象提供遊客及市民觀光、遊憩與藝文空間使用。<br><br>園區著重於空間獨特性的發揮，配合時代保存再利用之新趨勢，創造出文化新價值，尤其近年來結合人文與經濟發展的文化創意產業的興起，加上嘉義市政府極力推展觀光休閒產業，促使文化旅遊，而舊建築活化再利用足以促進本地資源，發揮最大經濟效用，並保存歷史或特色建物，透過「檜意森活村」的整建，融入林業生產的演進與歷史回憶，重塑林業歷史空間意象，以展現出嘉義市獨具的林業文化資產特色，使遊客能身歷其境瞭解林業發展狀況、加工製作過程及過去木材產業的歷史及背景，除了見證阿里山森林鐵路百年歷史，也重現嘉義林業文化風華。,http://fun.chiayi.gov.tw/cy2012/images/406/images/檜意森活村5.jpg
嘉義公園,古蹟攬勝;名勝古蹟;生態導覽,23.481807,120.4688,嘉義市公園街46號,05-2744019,嘉義公園是坐落在嘉義市東郊，中山路與啟明路交口一帶，曾更名為「中山公園」，建於明治43年（1910），面積約268000平方公尺，在嘉義公園內擁有著名的嘉義新八景中的「公園雨霽」，指的就是園中美景。公園腹地寬廣，與嘉義棒球場、嘉義植物園相連，是一個讓民眾休憩的良好場所。<br>嘉義公園依山仔頂山勢開闢而成，園內古木參天、假山造景、小橋流水、曲徑通幽。著名景點包括：噴泉、小西湖、福康安紀功碑、震災紀念碑、一江山紀念碑、阿里山21號蒸汽火車頭、十二門古砲、牆之道、陳澄波畫架、嘉義孔子廟、嘉義神社遺址、射日塔、嘉義市史蹟資料館等，風景雅緻，是嘉義非常著名的休閒勝地。<br>公園內有座乾隆皇帝御製的福康安紀功碑，極具歷史意義，將石碑豎立於形似石龜狀的贔屭臺基上，在臺灣並不多見，只有在臺南赤崁樓等地留有幾塊，不只是物稀為貴，更重要的，此碑牽引出一段臺灣重要的歷史 ─ 林爽文事變，尤其是諸羅縣因此事件奉皇帝賜名為「嘉義」，為全臺地名唯一由皇帝親賜的特例，在公園內處處都是見證嘉義市歷史的遺蹟，不僅僅是民眾休憩的好地方，也是認識歷史的好所在。<br>而另一著名景點為高度62公尺的「射日塔」，造型取諸於阿里山神木，其褐色鋁條之紋理似神木之外皮，內部設有取材自原住民「射日神話」的青銅雕刻。在塔的入口處有象徵台灣守護神的雲豹銅雕一對，塔的底層為「忠烈祠」，頂層為咖啡餐廳兼瞭望台，塔頂斜面設有一巨型市花豔紫荊，美麗搶眼。自頂樓可眺望嘉義市全景，山城美色盡收眼底，已成為嘉義市的新地標。,http://fun.chiayi.gov.tw/cy2012/images/407/images/嘉義公園1.jpg
蘭潭,生態樂活;生態導覽;大小雅路商圈,23.465215,120.480224,嘉義市鹿寮里紅毛埤187號之4,無,蘭潭又名南潭，佔地面積約70公頃，位於嘉義市東北郊區的山仔頂，鄰近嘉義大學及仁義潭，相傳為300多年前荷蘭人所鑿之埤，故稱「蘭潭」，又稱「紅毛埤」。到了日治時代，日本人又築壩把蘭潭作為自來水廠的儲水池，直到現在蘭潭依然是嘉義自來水廠的蓄水庫，提供嘉義市的飲水灌溉。蘭潭潭水清澈見底，四面岡陵起伏，山光水色，潭水若遇月夜朦朧，如詩如畫，故「蘭潭泛月」列為嘉義八景之一。<br>蘭潭擁有豐富的生態資源，諸羅樹蛙、五色鳥及多元豐富的植物與昆蟲等常見於此，是許多生態保育愛好者及賞鳥人士喜愛的好場域。隔著環潭道路與蘭潭相對，則是有「嘉義市後花園」之美名的蘭潭後山公園，後山林中有數條山徑步道，沿途兩旁挺拔的樹群不斷釋放芬多精。是喜好大自然人士的最愛。<br>沿岸的環湖公路也規畫了完善的自行車道，不僅僅可以散步亦可騎著腳踏車乘著涼風欣賞蘭潭之美；在水庫壩堤邊有座三信觀賞樓，供遊人歇息之用，立於樓頂不僅蘭潭景緻一覽無遺，亦能俯瞰全市風景盡收眼底。<br>民國101年（2012）蘭潭「月影潭心」甫建置完成，為享譽國際的藝術家王文志所創作，係由鋁片編織的縷空主題結構，月光下光影幻化，獨特的美姿，如鳥巢構築在潭水之上，呼應周遭樹群鳥隻，充滿自然野趣氣息。不論白天、晚上、雨天或晴天皆有不同情境與景觀。夜間燈光四段變化，營造出不同美感。潭中並設有彩色噴泉，高度可高達50公尺，更增添蘭潭動態之美。每日傍晚時分許多嘉義民眾攜家帶眷前來蘭潭欣賞噴泉與月夜之景，使蘭潭成為民眾休閒遊憩的好去處，也為前來嘉義旅遊不可不去的景點之一。,http://fun.chiayi.gov.tw/cy2012/images/409/images/蘭潭1.jpg
嘉義市國際管樂節,文化巡禮;慶典活動,23.479873,120.449617,管樂踩街：圓環噴水池→中山路→吳鳳北路→民族路→啟明路→體育路→嘉義市綜合體育場,無,「嘉義市管樂節」自民國82年（1993）首度舉辦至今，每年總在廣大市民的殷切期盼下熱鬧登場，尤其近幾年來選定在年底時舉辦，市政府以盛大節慶活動的規模來舉行，整個活動期間長達一個月，早已成為嘉義市最重要的年度盛事，不但邀請國內優秀的管樂團隊前來演出，更以國際的視野將世界著名的管樂團隊引介給國內管樂迷認識交流，帶動國內管樂風氣的興盛。<br><br>談及嘉義市管樂演奏的淵源，可追溯至日治時代的昭和6年（1931），本地第一支學生吹奏樂隊在現今的嘉義高中成立，嘉義市的管樂風因而逐漸蔓延開來。直到民國七○年代，隨著臺灣經濟起飛與社會開放，嘉義市各高中職校更紛紛將傳統的軍樂隊、鼓號樂隊改組為較富音樂性及以古典音樂為主要演出曲目的管樂團。民國82年（1993），嘉義市舉辦了盛況空前的「愛樂者管樂聯合演奏會」，獲得市民極大的迴響，也奠定了日後發展成為嘉義市國際管樂節的基礎。<br><br>嘉義市管樂節一開始從只有嘉義市的高中職專管樂隊參加，發展到全國性的管樂表演音樂節，甚至國際間頗富盛名的管樂團體亦前來共襄盛舉，全體市民熱情的投入及市府單位的努力讓所有人刮目相看。而現今的管樂節活動策劃更以音樂為核心，兼顧傳統與創意的動態表演及靜態展示，將管樂更為多元化型態呈現在民眾的面前。此外，熱情、繽紛的嘉年華式管樂踩街及創意踩街活動，更將民眾歡樂的氣氛帶到最高潮，因此在每年歲末年初之際，嘉義市管樂節震撼心弦的演出您千萬別錯過。,http://fun.chiayi.gov.tw/cy2012/images/390/images/嘉義市國際管樂節1.jpg
嘉義市史蹟資料館,文化巡禮;文化展館;名勝古蹟,23.481521,120.467457,嘉義市公園街42號,05-2711647,在嘉義公園走著走著，咦！居然會看到日式建築，原來是嘉義市史蹟資料館。這建物是日治時期嘉義神社附屬的齋館及社務所，被列為市定古蹟，創建於昭和18年(1943)。從外觀可看出其屋頂屬「入母屋式」形式，類似中國傳統的歇山頂，其屋簷、屋脊、破風、垂脊、正脊均使用日式之建築元素。<br>齋館係前往神社祭祀前齋戒和準備的地方，而社務所為神社行政管理辦公處。尤其齋館、社務所、手水舍，祭器庫等，是日本留下的居住文化代表，而且祭器庫有混凝土模仿木作建築的外牆，非常特殊。踏入館前的庭院時看到成對的石猴似乎就像真的一樣在那歡迎著我們參觀，光是在館外的景色與獨具當時的傳統日式風格不知就可以讓多少遊客著迷。<br>一入館內，輕輕的涼風吹拂過來，整個人就清爽了起來，而且在玄關時必須先把鞋子換下並使用館內的室內拖鞋，好保持館內的清潔與木板的完整。各個房間都有詳細介紹著當代嘉義市的相關歷史，管理者也非常用心，有些歷史部分還用圖卡呈現。<br>另外還有一些當時所使用的一些生活用品及教具，如果走完一圈，就好像搭了時光機一樣，穿梭在那些年代裡遊玩，看盡生活百態，各年代呈現各自的歷史風華，藉此激發民眾愛鄉愛家的情懷。史蹟資料館是了解嘉義歷史的最佳處所。,http://fun.chiayi.gov.tw/cy2012/images/466/images/嘉義市史蹟資料館1.jpg
射日塔,古蹟攬勝;名勝古蹟,23.481374,120.468444,嘉義市公園路46號,05-2767016,射日塔位於嘉義公園東郊的高地上，其所在的位子原本是日治時期嘉義神社的本殿，二次世界大戰後則改為忠烈祠。民國83年（1994）忠烈祠被大火燒毀後，直到民國88年（1999）在原址改建為射日塔。<br>來到射日塔入口處，兩旁有一對象徵守護神的臺灣雲豹，塔的外型設計靈感取自阿里山神木，其褐色鋁條般的塔身結構意味著神木的樹身紋理，中間高40公尺一分為二的「一線天」就有如被劈開的神木，內部有仿剪紙藝術造型的青銅雕刻，雕刻全高24公尺、寬3公尺，青銅厚度6毫米，內容取材自原住民「射日神話」的動人故事，兼具歷史意義和觀光價值，頂樓設有瞭望臺，可一覽嘉義市全景。<br>相傳古代有兩個太陽輪流出沒，天氣酷熱無比，河水乾涸，造成作物不長，於是部落裡有勇士自告奮勇前往射日，因通往太陽之路非常遙遠，因此勇士背嬰兒前往，讓嬰孩長大後能完成他的任務；後來老勇士死去，嬰兒已長大成人，終於到達太陽之處，拉弓射下其中一個太陽，中箭的太陽變成了月亮，從此之後便有了晝夜之分。這就是原住民「射日神話」的由來，射日塔以此故事為設計構想，由於故事的內涵在闡述人類繼往開來的傳承精神，具有社教意義。<br>由於射日塔名稱本身具有傳統的意義，而在外型上卻又具備有相當的現代感，塔頂斜面鑲嵌著嘉義市的市花—豔紫荊，象徵著嘉義市的熱情，因此可說是遊客來嘉義市觀光時必走的景點，也成為嘉義市重要的地標之一。,http://fun.chiayi.gov.tw/cy2012/images/458/images/射日塔1.jpg
嘉樂福夜市,美食饗宴;夜市小吃,23.471336,120.431206,嘉義市博愛路二段461號,無,夜晚到嘉義市旅遊，除了必遊的市區商圈景點外，交通便捷的嘉樂福觀光夜市也是近年來嘉義市新興的觀光消費景點之一。白天狀似空曠冷清的空地，到了夜晚則被閃爍的霓虹燈與人聲鼎沸的熱力所感染，豐富多樣的攤販美食，成了吸引人潮最大的賣點，也是最有地方特色的處所。<br>  嘉樂福觀光夜市位在嘉義市西郊的博愛路、興業西路口旁，除了星期一沒有營業外，其餘時間每到夜晚總是人山人海。而緊鄰隔壁的家樂福大賣場也提供了便利的停車空間，總計有1500個停車位讓開車的朋友都能就近方便停車。寬廣的夜市面積共達6.000坪，有高達300多攤的各式攤位進駐，其中不乏有許多具有嘉義特色小吃，包含了大漢蒙古烤肉、鑫食堂關東煮、阿舜古早味豆花、古早人粉圓、嘉樂福碳烤、蓁香滷味、數一數二碳烤雞排、老牌專業石頭火鍋、關子嶺豆乳雞…等等特色攤位，都是廣受民眾好評的人氣店家。<br>除了種類豐富的各式小吃能大快朵頤外，多元種類的各式生活用品也讓逛夜市的朋友多了另一種採買購物的選擇。此外，嘉樂福夜市鄰近的寬廣空間還讓民眾能夠在市區裡體驗棒球打擊場跟九宮格棒球的樂趣。將美食、採購、娛樂三項元素完美的結合，讓嘉樂福夜市總是充滿了歡樂愉悅的氣氛，逛完夜市的遊客總是帶著心滿意足的笑容離開。<br>不論是一家大小、同學或與三五好友來此，除了能滿足口腹之慾外，到嘉樂福夜市裡也能深刻的體驗嘉義美食文化的多元與濃濃的人情味。,http://fun.chiayi.gov.tw/cy2012/images/906/images/家樂福夜市1.jpg
嘉義耐斯王子大飯店,交通住宿;住宿,23.496251,120.453188,嘉義市忠孝路600號,05-2771999,走進耐斯王子大飯店，映入眼簾的是阿里山鄒族元素及櫻花所點綴的大廳，高雅富麗的大廳兼具氣派與文化，讓下榻旅人總能親身感受的賓至如歸的舒適。<br><br>耐斯王子大飯店為彰雲嘉地區第一家、也是唯一一家五星級認證的國際觀光飯店，加盟日本王子大飯店連鎖系統，以高規格標準，結合耐斯廣場時尚百貨的複合式國際五星級飯店，擁有商務、休閒、購物等功能，打造出世界水準與在地文化特色兼具的創新組合。<br><br>座落於阿里山腳下嘉義市中心的耐斯王子大飯店，於8至16樓配置245間各類型客房，擁有遼闊視野與絕佳景觀，滿足商務旅行、觀光、度假、旅遊等多元住宿需求。<br><br>飯店內並將阿里山鄒族原住民文化及嘉義地方文化色彩，以現代感表現手法融合於裝潢設計。處處可見阿里山以及鄒族文化的影子，從大廳的鄒族勇士雕像，到大廳服務櫃台後方成片金色櫻花壁雕，房間迴廊四週也全是鑲嵌山櫻花的玻璃，都與阿里山印象相結合。<br><br>除了提供優質客房外，一樓的王子咖啡酒吧，提供旅人一處慵懶閒適的休息環境，讓每位客人都能充分放鬆身心。五樓美侖美奐的阿里山宴會廳，挑高七米，為嘉義市最高、最大的多功能宴會廳，最多可容納800位賓客一起用餐，是嘉義市最頂級豪華的婚宴場地。<br><br>七樓萬國百匯餐廳也是嘉義市唯一高檔自助餐廳，挑高空間寬廣，明亮的開放式廚房，提供嘉義小吃、阿里山風味餐、布袋海鮮、中西日義無國界料理，頂尖廚藝精彩演出，創意美食，豐富呈現。<br><br>自然山林、藝術人文、還有歡樂及悠閒，來趟嘉義諸羅，選擇耐斯王子大飯店，一次能滿足您商務、休閒與度假、購物等需求，讓您從旅程中重新發掘生命的美好！,http://fun.chiayi.gov.tw/cy2012/images/514/images/2016331145215耐斯王子大飯店1.jpg
鴻洋食品行‧蔡家手作Q包子饅頭,美食饗宴;伴手禮;十大伴手禮暨人氣商品,23.473772,120.453977,嘉義市吳鳳南路15號,05-2223061,小豬肉包為本店創始造型包，討喜又可愛深受孩子們的喜愛，讓挑食的孩子能吃到更健康的點心。改變無趣的傳統包子饅頭，為包子添加趣味新意，讓更多年輕人更能接受無油無躁的包子饅頭。<br><br>2013年以「豬事大吉包」入選嘉義市2013年伴手禮人氣商品。2015年以「猴厲害造型包子禮盒」獲選嘉義市十大伴手禮。產品以嘉義市地方特色文化「石猴雕刻」，結合傳統中式麵點包子，融會出屬於嘉義專有的創意美食創作，讓包子饅頭更具食尚力。,http://fun.chiayi.gov.tw/cy2012/images/687/images/201622113626猴厲害造型包子.jpg
